,city_name,Year,Pop.,±%
136,San Antonio,1990,935933,19.1%
137,San Antonio,2000,1144646,22.3%
138,San Antonio,2010,1327407,16.0%
139,San Diego,1850,500,—
140,San Diego,1860,731,46.2%
141,San Diego,1870,2300,214.6%
142,San Diego,1880,2637,14.7%
143,San Diego,1890,16159,512.8%
144,San Diego,1900,17700,9.5%
145,San Diego,1910,39578,123.6%
146,San Diego,1920,74361,87.9%
147,San Diego,1930,147995,99.0%
148,San Diego,1940,203341,37.4%
149,San Diego,1950,334387,64.4%
150,San Diego,1960,573224,71.4%
151,San Diego,1970,696769,21.6%
152,San Diego,1980,875538,25.7%
153,San Diego,1990,1110549,26.8%
154,San Diego,2000,1223400,10.2%
155,San Diego,2010,1307402,6.9%
156,Dallas,1850,1073,—
157,Dallas,1860,698,−34.9%
158,Dallas,1870,3000,329.8%
159,Dallas,1880,10358,245.3%
160,Dallas,1890,38069,267.5%
161,Dallas,1900,42639,12.0%
162,Dallas,1910,92104,116.0%
163,Dallas,1920,158976,72.6%
164,Dallas,1930,269475,69.5%
165,Dallas,1940,294734,9.4%
166,Dallas,1950,434462,47.4%
167,Dallas,1960,679684,56.4%
168,Dallas,1970,844401,24.2%
169,Dallas,1980,904078,7.1%
170,Dallas,1990,1006977,11.4%
171,Dallas,2000,1188580,18.0%
172,Dallas,2010,1197816,0.8%
173,San Jose,1870,9089,—
174,San Jose,1880,12567,38.3%
175,San Jose,1890,18060,43.7%
176,San Jose,1900,21500,19.0%
177,San Jose,1910,28946,34.6%
178,San Jose,1920,39642,37.0%
179,San Jose,1930,57651,45.4%
180,San Jose,1940,68457,18.7%
181,San Jose,1950,95280,39.2%
182,San Jose,1960,204196,114.3%
183,San Jose,1970,459913,125.2%
184,San Jose,1980,629400,36.9%
185,San Jose,1990,782248,24.3%
186,San Jose,2000,894943,14.4%
187,San Jose,2010,945942,5.7%
188,Austin,1850,629,—
189,Austin,1860,3494,455.5%
190,Austin,1870,4428,26.7%
191,Austin,1880,11013,148.7%
192,Austin,1890,14575,32.3%
193,Austin,1900,22258,52.7%
194,Austin,1910,29860,34.2%
195,Austin,1920,34876,16.8%
196,Austin,1930,53120,52.3%
197,Austin,1940,87930,65.5%
198,Austin,1950,132459,50.6%
199,Austin,1960,186545,40.8%
200,Austin,1970,253539,35.9%
201,Austin,1980,345890,36.4%
202,Austin,1990,465622,34.6%
203,Austin,2000,656562,41.0%
204,Austin,2010,790390,20.4%
205,Jacksonville,1850,1045,—
206,Jacksonville,1860,2118,102.7%
207,Jacksonville,1870,6912,226.3%
208,Jacksonville,1880,7650,10.7%
209,Jacksonville,1890,17201,124.8%
210,Jacksonville,1900,28429,65.3%
211,Jacksonville,1910,57699,103.0%
212,Jacksonville,1920,91558,58.7%
213,Jacksonville,1930,129549,41.5%
214,Jacksonville,1940,173065,33.6%
215,Jacksonville,1950,204275,18.0%
216,Jacksonville,1960,201030,−1.6%
217,Jacksonville,1970,528865,163.1%
218,Jacksonville,1980,540920,2.3%
219,Jacksonville,1990,635230,17.4%
220,Jacksonville,2000,735503,15.8%
221,Jacksonville,2010,821784,11.7%
222,Fort Worth,1880,6663,—
223,Fort Worth,1890,23076,246.3%
224,Fort Worth,1900,26668,15.6%
225,Fort Worth,1910,73312,174.9%
226,Fort Worth,1920,106482,45.2%
227,Fort Worth,1930,163447,53.5%
228,Fort Worth,1940,177662,8.7%
229,Fort Worth,1950,278778,56.9%
230,Fort Worth,1960,356268,27.8%
231,Fort Worth,1970,393476,10.4%
232,Fort Worth,1980,385164,−2.1%
233,Fort Worth,1990,447619,16.2%
234,Fort Worth,2000,534697,19.5%
235,Fort Worth,2010,741206,38.6%
236,Columbus,1830,2435,—
237,Columbus,1840,6048,148.4%
238,Columbus,1850,17882,195.7%
239,Columbus,1860,18554,3.8%
240,Columbus,1870,31274,68.6%
241,Columbus,1880,51647,65.1%
242,Columbus,1890,88150,70.7%
243,Columbus,1900,125560,42.4%
244,Columbus,1910,181511,44.6%
245,Columbus,1920,237031,30.6%
246,Columbus,1930,290564,22.6%
247,Columbus,1940,306087,5.3%
248,Columbus,1950,375901,22.8%
249,Columbus,1960,471316,25.4%
250,Columbus,1970,539677,14.5%
251,Columbus,1980,564871,4.7%
252,Columbus,1990,632910,12.0%
253,Columbus,2000,711470,12.4%
254,Columbus,2010,787033,10.6%
255,San Francisco,1848,1000,—
256,San Francisco,1849,25000,+2400.0%
257,San Francisco,1852,34776,+39.1%
258,San Francisco,1860,56802,+63.3%
259,San Francisco,1870,149473,+163.1%
260,San Francisco,1880,233959,+56.5%
261,San Francisco,1890,298997,+27.8%
262,San Francisco,1900,342782,+14.6%
263,San Francisco,1910,416912,+21.6%
264,San Francisco,1920,506676,+21.5%
265,San Francisco,1930,634394,+25.2%
266,San Francisco,1940,634536,+0.0%
267,San Francisco,1950,775357,+22.2%
268,San Francisco,1960,740316,−4.5%
269,San Francisco,1970,715674,−3.3%
270,San Francisco,1980,678974,−5.1%
271,San Francisco,1990,723959,+6.6%
272,San Francisco,2000,776733,+7.3%
273,San Francisco,2010,805235,+3.7%
274,Charlotte,1850,1065,—
275,Charlotte,1860,2265,112.7%
276,Charlotte,1870,4473,97.5%
277,Charlotte,1880,7094,58.6%
278,Charlotte,1890,11557,62.9%
279,Charlotte,1900,18091,56.5%
280,Charlotte,1910,34014,88.0%
281,Charlotte,1920,46338,36.2%
282,Charlotte,1930,82675,78.4%
283,Charlotte,1940,100899,22.0%
284,Charlotte,1950,134042,32.8%
285,Charlotte,1960,201564,50.4%
286,Charlotte,1970,241420,19.8%
287,Charlotte,1980,315474,30.7%
288,Charlotte,1990,395934,25.5%
289,Charlotte,2000,540828,36.6%
290,Charlotte,2010,731424,35.2%
291,Indianapolis,1840,2695,—
292,Indianapolis,1850,8091,200.2%
293,Indianapolis,1860,18611,130.0%
294,Indianapolis,1870,48244,159.2%
295,Indianapolis,1880,75056,55.6%
296,Indianapolis,1890,105436,40.5%
297,Indianapolis,1900,169164,60.4%
298,Indianapolis,1910,233650,38.1%
299,Indianapolis,1920,314194,34.5%
300,Indianapolis,1930,364161,15.9%
301,Indianapolis,1940,386972,6.3%
302,Indianapolis,1950,427173,10.4%
303,Indianapolis,1960,476258,11.5%
304,Indianapolis,1970,744624,56.3%
305,Indianapolis,1980,700807,−5.9%
306,Indianapolis,1990,731327,4.4%
307,Indianapolis,2000,781926,6.9%
308,Indianapolis,2010,820445,4.9%
309,Seattle,1860,188,—
310,Seattle,1870,1107,488.8%
311,Seattle,1880,3533,219.2%
312,Seattle,1890,42837,"1,112.5%"
313,Seattle,1900,80671,88.3%
314,Seattle,1910,237194,194.0%
315,Seattle,1920,315312,32.9%
316,Seattle,1930,365583,15.9%
317,Seattle,1940,368302,0.7%
318,Seattle,1950,467591,27.0%
319,Seattle,1960,557087,19.1%
320,Seattle,1970,530831,−4.7%
321,Seattle,1980,493846,−7.0%
322,Seattle,1990,516259,4.5%
323,Seattle,2000,563374,9.1%
324,Seattle,2010,608660,8.0%
325,Denver,1860,4749,—
326,Denver,1870,4759,0.2%
327,Denver,1880,35629,648.7%
328,Denver,1890,106713,199.5%
329,Denver,1900,133859,25.4%
330,Denver,1910,213381,59.4%
331,Denver,1920,256491,20.2%
332,Denver,1930,287861,12.2%
333,Denver,1940,322412,12.0%
334,Denver,1950,415765,29.0%
335,Denver,1960,493887,18.8%
336,Denver,1970,514678,4.2%
337,Denver,1980,492686,−4.3%
338,Denver,1990,467610,−5.1%
339,Denver,2000,554636,18.6%
340,Denver,2010,600158,8.2%
341,"Washington, D.C.",1800,8144,—
342,"Washington, D.C.",1810,15471,90.0%
343,"Washington, D.C.",1820,23336,50.8%
344,"Washington, D.C.",1830,30261,29.7%
345,"Washington, D.C.",1840,33745,11.5%
346,"Washington, D.C.",1850,51687,53.2%
347,"Washington, D.C.",1860,75080,45.3%
348,"Washington, D.C.",1870,131700,75.4%
349,"Washington, D.C.",1880,177624,34.9%
350,"Washington, D.C.",1890,230392,29.7%
351,"Washington, D.C.",1900,278718,21.0%
352,"Washington, D.C.",1910,331069,18.8%
353,"Washington, D.C.",1920,437571,32.2%
354,"Washington, D.C.",1930,486869,11.3%
355,"Washington, D.C.",1940,663091,36.2%
356,"Washington, D.C.",1950,802178,21.0%
357,"Washington, D.C.",1960,763956,−4.8%
358,"Washington, D.C.",1970,756510,−1.0%
359,"Washington, D.C.",1980,638333,−15.6%
360,"Washington, D.C.",1990,606900,−4.9%
361,"Washington, D.C.",2000,572059,−5.7%
362,"Washington, D.C.",2010,601723,5.2%
363,Boston,1722,10567,—
364,Boston,1765,15520,+46.9%
365,Boston,1790,18320,+18.0%
366,Boston,1800,24937,+36.1%
367,Boston,1810,33787,+35.5%
368,Boston,1820,43298,+28.1%
369,Boston,1830,61392,+41.8%
370,Boston,1840,93383,+52.1%
371,Boston,1850,136881,+46.6%
372,Boston,1860,177840,+29.9%
373,Boston,1870,250526,+40.9%
374,Boston,1880,362839,+44.8%
375,Boston,1890,448477,+23.6%
376,Boston,1900,560892,+25.1%
377,Boston,1910,670585,+19.6%
378,Boston,1920,748060,+11.6%
379,Boston,1930,781188,+4.4%
380,Boston,1940,770816,−1.3%
381,Boston,1950,801444,+4.0%
382,Boston,1960,697197,−13.0%
383,Boston,1970,641071,−8.1%
384,Boston,1980,562994,−12.2%
385,Boston,1990,574283,+2.0%
386,Boston,2000,589141,+2.6%
387,Boston,2010,617594,+4.8%
388,El Paso,1850,200,—
389,El Paso,1860,428,114.0%
390,El Paso,1880,736,—
391,El Paso,1890,10338,"1,304.6%"
392,El Paso,1900,15906,53.9%
393,El Paso,1910,39279,146.9%
394,El Paso,1920,77560,97.5%
395,El Paso,1930,102421,32.1%
396,El Paso,1940,96810,−5.5%
397,El Paso,1950,130485,34.8%
398,El Paso,1960,276687,112.0%
399,El Paso,1970,339615,22.7%
400,El Paso,1980,425259,25.2%
401,El Paso,1990,515342,21.2%
402,El Paso,2000,563662,9.4%
403,El Paso,2010,649121,15.2%
404,Detroit,1820,1422,—
405,Detroit,1830,2222,56.3%
406,Detroit,1840,9102,309.6%
407,Detroit,1850,21019,130.9%
408,Detroit,1860,45619,117.0%
409,Detroit,1870,79577,74.4%
410,Detroit,1880,116340,46.2%
411,Detroit,1890,205876,77.0%
412,Detroit,1900,285704,38.8%
413,Detroit,1910,465766,63.0%
414,Detroit,1920,993678,113.3%
415,Detroit,1930,1568662,57.9%
416,Detroit,1940,1623452,3.5%
417,Detroit,1950,1849568,13.9%
418,Detroit,1960,1670144,−9.7%
419,Detroit,1970,1514063,−9.3%
420,Detroit,1980,1203368,−20.5%
421,Detroit,1990,1027974,−14.6%
422,Detroit,2000,951270,−7.5%
423,Detroit,2010,713777,−25.0%
424,Nashville,1810,1100,—
425,Nashville,1820,3410,210.0%
426,Nashville,1830,5566,63.2%
427,Nashville,1840,6929,24.5%
428,Nashville,1850,10165,46.7%
429,Nashville,1860,16988,67.1%
430,Nashville,1870,25865,52.3%
431,Nashville,1880,43350,67.6%
432,Nashville,1890,76168,75.7%
433,Nashville,1900,80865,6.2%
434,Nashville,1910,110364,36.5%
435,Nashville,1920,118342,7.2%
436,Nashville,1930,153866,30.0%
437,Nashville,1940,167402,8.8%
438,Nashville,1950,174307,4.1%
439,Nashville,1960,170874,−2.0%
440,Nashville,1970,448003,162.2%
441,Nashville,1980,477811,6.7%
442,Nashville,1990,510784,6.9%
443,Nashville,2000,569891,11.6%
444,Nashville,2010,626681,10.0%
445,Portland,1860,2874,—
446,Portland,1870,8293,188.6%
447,Portland,1880,17577,111.9%
448,Portland,1890,46385,163.9%
449,Portland,1900,90426,94.9%
450,Portland,1910,207214,129.2%
451,Portland,1920,258288,24.6%
452,Portland,1930,301815,16.9%
453,Portland,1940,305394,1.2%
454,Portland,1950,373628,22.3%
455,Portland,1960,372676,−0.3%
456,Portland,1970,382619,2.7%
457,Portland,1980,366383,−4.2%
458,Portland,1990,437319,19.4%
459,Portland,2000,529121,21.0%
460,Portland,2010,583776,10.3%
461,Memphis,1850,8841,—
462,Memphis,1860,22623,155.9%
463,Memphis,1870,40226,77.8%
464,Memphis,1880,33592,−16.5%
465,Memphis,1890,64495,92.0%
466,Memphis,1900,102320,58.6%
467,Memphis,1910,131105,28.1%
468,Memphis,1920,162351,23.8%
469,Memphis,1930,253143,55.9%
470,Memphis,1940,292942,15.7%
471,Memphis,1950,396000,35.2%
472,Memphis,1960,497524,25.6%
473,Memphis,1970,623988,25.4%
474,Memphis,1980,646174,3.6%
475,Memphis,1990,610337,−5.5%
476,Memphis,2000,650100,6.5%
477,Memphis,2010,646889,−0.5%
478,Oklahoma City,1890,4151,—
479,Oklahoma City,1900,10037,141.8%
480,Oklahoma City,1910,64205,539.7%
481,Oklahoma City,1920,91295,42.2%
482,Oklahoma City,1930,185389,103.1%
483,Oklahoma City,1940,204424,10.3%
484,Oklahoma City,1950,243504,19.1%
485,Oklahoma City,1960,324253,33.2%
486,Oklahoma City,1970,368164,13.5%
487,Oklahoma City,1980,404014,9.7%
488,Oklahoma City,1990,444719,10.1%
489,Oklahoma City,2000,506132,13.8%
490,Oklahoma City,2010,579999,14.6%
491,Las Vegas,1900,25,—
492,Las Vegas,1910,800,"3,100.0%"
493,Las Vegas,1920,2304,188.0%
494,Las Vegas,1930,5165,124.2%
495,Las Vegas,1940,8422,63.1%
496,Las Vegas,1950,24624,192.4%
497,Las Vegas,1960,64405,161.6%
498,Las Vegas,1970,125787,95.3%
499,Las Vegas,1980,164674,30.9%
500,Las Vegas,1990,258295,56.9%
501,Las Vegas,2000,478434,85.2%
502,Las Vegas,2010,583756,22.0%
503,Louisville,1790,200,—
504,Louisville,1800,359,79.5%
505,Louisville,1810,1357,278.0%
506,Louisville,1820,4012,195.7%
507,Louisville,1830,10341,157.8%
508,Louisville,1840,21210,105.1%
509,Louisville,1850,43194,103.6%
510,Louisville,1860,68033,57.5%
511,Louisville,1870,100753,48.1%
512,Louisville,1880,123758,22.8%
513,Louisville,1890,161129,30.2%
514,Louisville,1900,204731,27.1%
515,Louisville,1910,223928,9.4%
516,Louisville,1920,234891,4.9%
517,Louisville,1930,307745,31.0%
518,Louisville,1940,319077,3.7%
519,Louisville,1950,369129,15.7%
520,Louisville,1960,390639,5.8%
521,Louisville,1970,361706,−7.4%
522,Louisville,1980,298694,−17.4%
523,Louisville,1990,269063,−9.9%
524,Louisville,2000,256231,−4.8%
525,Louisville,2010,597337,133.1%
526,Baltimore,1790,13503,—
527,Baltimore,1800,26514,96.4%
528,Baltimore,1810,46555,75.6%
529,Baltimore,1820,62738,34.8%
530,Baltimore,1830,80620,28.5%
531,Baltimore,1840,102313,26.9%
532,Baltimore,1850,169054,65.2%
533,Baltimore,1860,212418,25.7%
534,Baltimore,1870,267354,25.9%
535,Baltimore,1880,332313,24.3%
536,Baltimore,1890,434439,30.7%
537,Baltimore,1900,508957,17.2%
538,Baltimore,1910,558485,9.7%
539,Baltimore,1920,733826,31.4%
540,Baltimore,1930,804874,9.7%
541,Baltimore,1940,859100,6.7%
542,Baltimore,1950,949708,10.5%
543,Baltimore,1960,939024,−1.1%
544,Baltimore,1970,905787,−3.5%
545,Baltimore,1980,786741,−13.1%
546,Baltimore,1990,736016,−6.4%
547,Baltimore,2000,651154,−11.5%
548,Baltimore,2010,620961,−4.6%
549,Milwaukee,1840,1700,—
550,Milwaukee,1850,20061,"1,080.1%"
551,Milwaukee,1860,45246,125.5%
552,Milwaukee,1870,71440,57.9%
553,Milwaukee,1880,115587,61.8%
554,Milwaukee,1890,204468,76.9%
555,Milwaukee,1900,285315,39.5%
556,Milwaukee,1910,373857,31.0%
557,Milwaukee,1920,457147,22.3%
558,Milwaukee,1930,578249,26.5%
559,Milwaukee,1940,587472,1.6%
560,Milwaukee,1950,637392,8.5%
561,Milwaukee,1960,741324,16.3%
562,Milwaukee,1970,717099,−3.3%
563,Milwaukee,1980,636212,−11.3%
564,Milwaukee,1990,628088,−1.3%
565,Milwaukee,2000,596974,−5.0%
566,Milwaukee,2010,594833,−0.4%
567,Albuquerque,1880,2315,—
568,Albuquerque,1890,3785,63.5%
569,Albuquerque,1900,6238,64.8%
570,Albuquerque,1910,11020,76.7%
571,Albuquerque,1920,15157,37.5%
572,Albuquerque,1930,26570,75.3%
573,Albuquerque,1940,35449,33.4%
574,Albuquerque,1950,96815,173.1%
575,Albuquerque,1960,201189,107.8%
576,Albuquerque,1970,244501,21.5%
577,Albuquerque,1980,332920,36.2%
578,Albuquerque,1990,384736,15.6%
579,Albuquerque,2000,448607,16.6%
580,Albuquerque,2010,545852,21.7%
581,Tucson,1850,400,—
582,Tucson,1860,915,128.8%
583,Tucson,1870,3215,251.4%
584,Tucson,1880,7007,117.9%
585,Tucson,1890,5150,−26.5%
586,Tucson,1900,7531,46.2%
587,Tucson,1910,13193,75.2%
588,Tucson,1920,20292,53.8%
589,Tucson,1930,32506,60.2%
590,Tucson,1940,35752,10.0%
591,Tucson,1950,45454,27.1%
592,Tucson,1960,212892,368.4%
593,Tucson,1970,262933,23.5%
594,Tucson,1980,330537,25.7%
595,Tucson,1990,405371,22.6%
596,Tucson,2000,486699,20.1%
597,Tucson,2010,520116,6.9%
598,Fresno,1880,1112,—
599,Fresno,1890,10818,872.8%
600,Fresno,1900,12470,15.3%
601,Fresno,1910,24892,99.6%
602,Fresno,1920,45086,81.1%
603,Fresno,1930,52513,16.5%
604,Fresno,1940,60685,15.6%
605,Fresno,1950,91669,51.1%
606,Fresno,1960,133929,46.1%
607,Fresno,1970,165655,23.7%
608,Fresno,1980,217491,31.3%
609,Fresno,1990,354202,62.9%
610,Fresno,2000,427652,20.7%
611,Fresno,2010,494665,15.7%
612,Mesa,1900,722,—
613,Mesa,1910,1692,134.3%
614,Mesa,1920,3036,79.4%
615,Mesa,1930,3711,22.2%
616,Mesa,1940,7224,94.7%
617,Mesa,1950,16790,132.4%
618,Mesa,1960,33772,101.1%
619,Mesa,1970,63049,86.7%
620,Mesa,1980,152404,141.7%
621,Mesa,1990,288104,89.0%
622,Mesa,2000,396375,37.6%
623,Mesa,2010,439041,10.8%
624,Sacramento,1850,6820,—
625,Sacramento,1860,13785,102.1%
626,Sacramento,1870,16283,18.1%
627,Sacramento,1880,21420,31.5%
628,Sacramento,1890,26386,23.2%
629,Sacramento,1900,29282,11.0%
630,Sacramento,1910,44696,52.6%
631,Sacramento,1920,65908,47.5%
632,Sacramento,1930,93750,42.2%
633,Sacramento,1940,105958,13.0%
634,Sacramento,1950,137572,29.8%
635,Sacramento,1960,191667,39.3%
636,Sacramento,1970,257105,34.1%
637,Sacramento,1980,275741,7.2%
638,Sacramento,1990,369365,34.0%
639,Sacramento,2000,407018,10.2%
640,Sacramento,2010,466488,14.6%
641,Atlanta,1850,2572,—
642,Atlanta,1860,9554,271.5%
643,Atlanta,1870,21789,128.1%
644,Atlanta,1880,37409,71.7%
645,Atlanta,1890,65533,75.2%
646,Atlanta,1900,89872,37.1%
647,Atlanta,1910,154839,72.3%
648,Atlanta,1920,200616,29.6%
649,Atlanta,1930,270366,34.8%
650,Atlanta,1940,302288,11.8%
651,Atlanta,1950,331314,9.6%
652,Atlanta,1960,487455,47.1%
653,Atlanta,1970,495039,1.6%
654,Atlanta,1980,425022,−14.1%
655,Atlanta,1990,394017,−7.3%
656,Atlanta,2000,416474,5.7%
657,Atlanta,2010,420003,0.8%
658,Kansas City,1860,4418,—
659,Kansas City,1870,32260,630.2%
660,Kansas City,1880,55785,72.9%
661,Kansas City,1890,132716,137.9%
662,Kansas City,1900,163752,23.4%
663,Kansas City,1910,248381,51.7%
664,Kansas City,1920,324410,30.6%
665,Kansas City,1930,399746,23.2%
666,Kansas City,1940,400178,0.1%
667,Kansas City,1950,456622,14.1%
668,Kansas City,1960,475539,4.1%
669,Kansas City,1970,507087,6.6%
670,Kansas City,1980,448159,−11.6%
671,Kansas City,1990,435146,−2.9%
672,Kansas City,2000,441545,1.5%
673,Kansas City,2010,459787,4.1%
674,Colorado Springs,1880,4226,—
675,Colorado Springs,1890,11140,163.6%
676,Colorado Springs,1900,21085,89.3%
677,Colorado Springs,1910,29078,37.9%
678,Colorado Springs,1920,30105,3.5%
679,Colorado Springs,1930,33237,10.4%
680,Colorado Springs,1940,36789,10.7%
681,Colorado Springs,1950,45472,23.6%
682,Colorado Springs,1960,70194,54.4%
683,Colorado Springs,1970,135517,93.1%
684,Colorado Springs,1980,215105,58.7%
685,Colorado Springs,1990,281140,30.7%
686,Colorado Springs,2000,360890,28.4%
687,Colorado Springs,2010,416427,15.4%
688,Miami,1900,1681,—
689,Miami,1910,5471,225.5%
690,Miami,1920,29571,440.5%
691,Miami,1930,110637,274.1%
692,Miami,1940,172172,55.6%
693,Miami,1950,249276,44.8%
694,Miami,1960,291688,17.0%
695,Miami,1970,334859,14.8%
696,Miami,1980,346681,3.5%
697,Miami,1990,358548,3.4%
698,Miami,2000,362470,1.1%
699,Miami,2010,399457,10.2%
700,Raleigh,1800,669,—
701,Raleigh,1810,976,45.9%
702,Raleigh,1820,2674,174.0%
703,Raleigh,1830,1700,−36.4%
704,Raleigh,1840,2244,32.0%
705,Raleigh,1850,4518,101.3%
706,Raleigh,1860,4780,5.8%
707,Raleigh,1870,7790,63.0%
708,Raleigh,1880,9265,18.9%
709,Raleigh,1890,12678,36.8%
710,Raleigh,1900,13643,7.6%
711,Raleigh,1910,19218,40.9%
712,Raleigh,1920,24418,27.1%
713,Raleigh,1930,37379,53.1%
714,Raleigh,1940,46879,25.4%
715,Raleigh,1950,65679,40.1%
716,Raleigh,1960,93931,43.0%
717,Raleigh,1970,122830,30.8%
718,Raleigh,1980,150255,22.3%
719,Raleigh,1990,212092,41.2%
720,Raleigh,2000,276093,30.2%
721,Raleigh,2010,403892,46.3%
722,Omaha,1860,1883,—
723,Omaha,1870,16083,754.1%
724,Omaha,1880,30518,89.8%
725,Omaha,1890,140452,360.2%
726,Omaha,1900,102555,−27.0%
727,Omaha,1910,124096,21.0%
728,Omaha,1920,191061,54.0%
729,Omaha,1930,214006,12.0%
730,Omaha,1940,223844,4.6%
731,Omaha,1950,251117,12.2%
732,Omaha,1960,301598,20.1%
733,Omaha,1970,346929,15.0%
734,Omaha,1980,313939,−9.5%
735,Omaha,1990,335795,7.0%
736,Omaha,2000,390007,16.1%
737,Omaha,2010,408958,4.9%
738,Long Beach,1890,564,—
739,Long Beach,1900,2252,299.3%
740,Long Beach,1910,17809,690.8%
741,Long Beach,1920,55593,212.2%
742,Long Beach,1930,142032,155.5%
